8823,HOLIDAY,Na･de･Na･deボーイ,P,SUGINAMI MELODY,Y,あじさい通り,ありふれた人生,あわ,いろは,うめぼし,おっぱい,けもの道,さらばユニヴァース,さわって・変わって,ただ春を待つ,たまご,つぐみ,ほうき星,みそか,アカネ,アパート,インディゴ地平線,ウィリー,ウサギのバイク,エスカルゴ,エトランゼ,ガーベラ,クリスピー,グラスホッパー,コスモス,シャララ,ジュテーム？,スーパーノヴァ,スカーレット,スターゲイザー,スパイダー,スピカ,センチメンタル,チェリー,テイタム・オニール,テクテク,テレビ,トゲトゲの木,トビウオ,トンガリ’95,ナナへの気持ち,ナンプラー日和,ニノウデの世界,ネズミの進化,ハートが帰らない,ハイファイ・ローファイ,ハチミツ,ハネモノ,ハヤテ,バニーガール,ババロア,ヒバリのこころ,ビー玉,フェイクファー,プール,ヘチマの花,ベビーフェイス,マーメイド,マフラーマン,ミカンズのテーマ,ムーンライト,メモリーズ,ルキンフォー,ルナルナ,ローテク・ロマンティカ,ロビンソン,ワタリ,愛のことば,稲穂,運命の人,俺のすべて,俺の赤い星,夏が終わる,夏の魔物,花泥棒,会いに行くよ,海とピンク,海ねこ,海を見に行こう,甘い手,甘ったれクリーチャー,魚,胸に咲いた黄色い花,空も飛べるはず,君が思い出になる前に,君と暮らせたら,群青,今,砂漠の花,三日月ロック その３,自転車,謝々！,若葉,春の歌,春夏ロケット,初恋クレイジー,渚,心の底から,正夢,青い車,青春生き残りゲーム,船乗り,孫悟空,大宮サンセット,仲良し,鳥になって,点と点,田舎の生活,桃,日なたの窓に憧れて,猫になりたい,不思議,不死身のビーナス,楓,歩き出せ、クローバー,放浪カモメはどこまでも,僕のギター,僕の天使マリ,僕はジェット,魔女旅に出る,魔法のコトバ,夢じゃない,夢追い虫,名前をつけてやる,迷子の兵隊,夜を駆ける,野生のチューリップ,優しくなりたいな,夕焼け,夕陽が笑う、君も笑う,遥か,裸のままで,流れ星,旅の途中,旅人,涙がキラリ☆,冷たい頬,恋のうた,恋のはじまり,恋は夕暮れ,漣,惑星のかけら,1-2 Love Forever,Sakura,,3月9日,もっと遠くへ,アカシア,シフト,スタンドバイミー,モラトリアム,茜空,雨上がり,蛍,紙ふぶき,電話,南風,粉雪,夢の蕾,流星,#2601,365日,All by myself,Another Mind,Another Story,Any,CANDY,CROSS ROAD,Drawing,Everything (It’s you),GIFT,HANABI,HERO,I’LL BE,Image,It’s a wonderful world,Love is Blindness,Mirror,NOT FOUND,PADDLE,Pink～奇妙な夢,Prism,Replay,Round About～孤独の肖像～,SUNRISE,Sign,So Let’s Get Truth,Surrender,Tomorrow never knows,UFO,Wake me up!,and I love you,everybody goes～秩序のない現代にドロップキック～,my confidence song,youthful days,【es】～Theme of es～,ありふれた Love Story～男女問題はいつも面倒だ～,あんまり覚えてないや,かぞえうた,くるみ,こんな風にひどく蒸し暑い日,しるし,その向こうへ行こう,ためいきの日曜日,つよがり,また会えるかな,もっと,innocent world,エソラ,シーソーゲーム～勇敢な恋の歌～,ジェラシー,スロースターター,タガタメ,ニシエヒガシエ,フェイク,ポケット カスタネット,メインストリートに行こう,ヨーイドン,ランニングハイ,ロード・アイ・ミス・ユー,ロードムービー,ロックンロールは生きている,雨のち晴れ,花 -Mémento-Mori-,花の匂い,花言葉,隔たり,祈り ～涙の軌道,空風の帰り道,君がいた夏,君が好き,君の事以外は何も考えられない,血の管,言わせてみてぇもんだ,口がすべって,口笛,彩り,思春期の夏～君との恋が今も牧場に～,車の中でかくれてキスをしよう,終わりなき旅,終末のコンフィデンスソング,十二月のセントラルパークブルース,少年,掌,深海,水上バス,声,跳べ,通り雨,天頂バス,東京,逃亡者,独り言,虹の彼方へ,風～The wind knows how I feel～,風と星とメビウスの輪,抱きしめたい,僕らの音,未来,名もなき詩,妄想満月,優しい歌,羊、吠える,旅人,旅立ちの唄,虜,箒星,蜃気楼,AM11:00,DADA
テイタム・オニール, 28825, 2442, 7347, 881, 5066, 9790, 3321, 1110, 1403, 6409, 4242, 5491, 13230, 3683, 1739, 821, 14109, 1247, 6169, 4261, 11461, 9545, 3640, 1009, 9642, 4322, 3342, 42373, 1185, 5720, 1425, 36469, 30699, 1389, 2246, 966, 4344, 1401, 3157, 23475, 0, 12574, 18020, 9568, 6134, 8214, 2118, 8090, 2685, 9681, 7585, 16781, 19192, 1861, 2839, 3244, 2773, 21568, 11029, 11038, 2494, 7949, 1375, 1769, 3956, 3130, 6799, 6325, 1607, 4198, 8221, 2019, 6080, 2292, 5228, 1409, 6748, 1756, 9643, 11179, 7027, 4414, 3269, 5122, 1388, 4166, 2009, 4667, 2400, 7424, 2329, 14682, 766, 2959, 1720, 11323, 25558, 4505, 1007, 15157, 2014, 4898, 7243, 6766, 20103, 1714, 4827, 1936, 2744, 4353, 7589, 12704, 19828, 12695, 1221, 5714, 1470, 4937, 11009, 29484, 1266, 11359, 933, 4701, 9514, 2421, 1889, 3083, 5685, 2805, 7309, 15943, 36588, 3455, 3287, 2892, 2277, 2513, 3112, 5965, 5411, 1363, 1201, 2421, 1861, 3382, 4387, 2281, 3115, 2301, 9625, 18451, 2289, 6334, 7685, 6495, 2220, 7383, 3869, 5810, 5955, 5580, 8066, 1685, 3877, 5201, 5545, 7588, 7273, 1393, 6628, 9044, 8001, 7650, 8758, 1810, 4058, 9625, 6630, 9809, 7729, 8083, 4293, 835, 9821, 1406, 1549, 11005, 4755, 977, 1438, 7103, 15916, 42383, 6025, 5637, 7444, 5389, 6885, 1057, 1330, 8238, 4245, 8297, 4302, 7392, 8005, 8558, 8425, 9625, 4096, 6724, 9019, 2823, 6342, 3121, 1878, 5705, 7154, 9809, 3071, 5012, 1678, 2746, 8168, 2869, 3866, 45404, 2049, 708, 9427, 5541, 2661, 4830, 1356, 8236, 7897, 2162, 7237, 2920, 3908, 7776, 6491, 7334, 7568, 9194, 6353, 6889, 8265, 5096, 3769, 7943, 3887, 1841, 979, 7201, 2982, 22537, 1511, 1548, 1344, 6853, 4950, 9010, 8813, 3502, 4506, 2124, 6938, 1269, 6241, 7079, 7146, 2281, 11384, 18203 
テクテク, 9267, 19738, 3527, 12071, 30022, 40392, 24939, 15336, 16897, 32045, 2734, 2625, 3174, 26379, 11139, 12755, 6073, 18243, 31187, 10301, 8479, 2489, 26748, 17567, 958, 5256, 12492, 10491, 12407, 2982, 11003, 7449, 5415, 19097, 9220, 10004, 2768, 7513, 25923, 6619, 12574, 0, 2474, 1012, 3580, 6484, 16340, 36072, 20243, 1179, 36235, 5195, 10546, 6935, 21437, 4586, 24447, 2984, 2691, 3970, 15198, 36487, 17875, 6719, 27802, 23832, 34415, 31755, 18371, 25224, 37521, 19213, 32764, 10026, 3006, 7975, 3216, 19086, 40079, 2089, 35539, 3636, 20177, 27918, 8254, 14738, 21437, 6667, 11792, 1166, 21575, 7768, 13304, 18487, 20308, 2029, 3056, 7947, 11375, 3961, 14862, 4354, 1831, 4678, 2147, 18594, 30131, 21216, 23770, 4831, 2471, 2070, 2318, 4331, 10523, 31824, 7896, 5303, 4175, 5542, 14006, 1341, 14797, 4581, 1376, 6695, 13921, 8923, 29233, 8279, 35687, 3363, 9414, 9955, 10231, 15324, 19969, 8093, 25312, 30365, 4511, 9679, 12769, 13107, 20275, 7866, 5089, 15343, 13337, 21041, 40205, 5675, 20663, 33022, 5275, 32771, 8664, 34977, 23979, 30496, 31901, 30032, 36636, 19255, 27405, 29707, 25619, 35156, 34781, 10911, 33526, 38970, 36565, 35246, 38348, 16316, 27168, 40205, 33330, 40595, 35837, 36811, 24931, 12395, 40639, 18500, 15181, 1307, 28417, 15647, 7138, 34079, 5612, 11459, 31993, 31651, 35412, 30319, 33571, 11189, 15066, 37446, 27923, 37229, 27954, 35500, 36525, 37614, 37679, 40205, 27186, 2146, 38951, 24197, 32650, 22553, 17782, 24749, 34740, 40595, 24963, 28924, 10082, 23466, 36878, 23257, 9730, 11698, 14991, 12306, 39639, 30275, 21491, 29310, 19404, 37510, 36285, 8414, 34871, 23848, 25448, 36438, 33813, 34728, 1780, 39376, 32687, 33555, 37005, 26680, 24123, 36591, 24415, 12299, 14393, 35497, 24662, 5417, 14343, 17552, 11762, 34211, 29400, 38994, 38491, 25014, 26412, 21646, 34436, 16863, 32229, 35221, 35100, 17343, 3484, 1435 
テレビ, 8875, 26712, 3557, 16985, 37452, 50006, 33251, 21510, 21883, 38787, 6402, 4755, 2284, 33961, 15975, 18899, 6015, 24421, 37599, 15139, 5779, 3815, 34110, 24573, 4224, 8320, 13806, 7431, 16115, 6078, 17677, 6999, 7149, 26117, 12870, 13818, 6442, 11109, 33683, 4137, 18020, 2474, 0, 3468, 3904, 5542, 23360, 45206, 27637, 3627, 44743, 4607, 6068, 12227, 27429, 7938, 31555, 4248, 5219, 3912, 21554, 45555, 25133, 11135, 34954, 31044, 43309, 38387, 24309, 32954, 46481, 26839, 41462, 15344, 4588, 13165, 5932, 24062, 49737, 2905, 44197, 7708, 27109, 36212, 12708, 17050, 27297, 7941, 17304, 4694, 28393, 8160, 18796, 24409, 28150, 4337, 4522, 9341, 16917, 5063, 18148, 8780, 5977, 5002, 1243, 25682, 37851, 26992, 30040, 9015, 4951, 2844, 2050, 6349, 15841, 40712, 11622, 8753, 3909, 5698, 18438, 3707, 19725, 9315, 2532, 12171, 20345, 14221, 37557, 11615, 44329, 3721, 9610, 13831, 11989, 20742, 27607, 13331, 32758, 36447, 8935, 15333, 17935, 16575, 26155, 12002, 6055, 19381, 19847, 28001, 49587, 3679, 27741, 41530, 6761, 41075, 13238, 44023, 28491, 38442, 39505, 37968, 45904, 25243, 35135, 38007, 29391, 44274, 42645, 13633, 42016, 48170, 45961, 44334, 47626, 22134, 34678, 49587, 42232, 50087, 43899, 45925, 33235, 17167, 50259, 24348, 21135, 2099, 35947, 19743, 10846, 43313, 6232, 10233, 40651, 40239, 44342, 37965, 41517, 16835, 20066, 46620, 36103, 45731, 35070, 44484, 44807, 46900, 47355, 49587, 35820, 5736, 48321, 31573, 40916, 29623, 24296, 27971, 43450, 50087, 32913, 35738, 15274, 31530, 45206, 30751, 10934, 12674, 21591, 18170, 49141, 38407, 28347, 37132, 25964, 46758, 45253, 10918, 43179, 31910, 33260, 45522, 42231, 43862, 6178, 48780, 40651, 40847, 45875, 35184, 29007, 45385, 31229, 15911, 20267, 44541, 31882, 7913, 18281, 24500, 17886, 42843, 37598, 48378, 47835, 32488, 34590, 28420, 42950, 22459, 39827, 44071, 43674, 24555, 4682, 4587 
トゲトゲの木, 13727, 14352, 3261, 9293, 24132, 33290, 20061, 12592, 12907, 25979, 2100, 1805, 3106, 21623, 9779, 9495, 5885, 14199, 25241, 10319, 8545, 3051, 21082, 14203, 916, 2822, 10530, 14947, 9125, 3434, 8083, 10605, 7235, 15767, 5852, 7142, 2570, 4885, 21105, 10051, 9568, 1012, 3468, 0, 3270, 6578, 11516, 29250, 16099, 1535, 29649, 5489, 12212, 5977, 16901, 4080, 19249, 2718, 2329, 3440, 10604, 29901, 13533, 5417, 22464, 18398, 28227, 25729, 13843, 19514, 30793, 14529, 26426, 6444, 1896, 5147, 1116, 15278, 33101, 2873, 29073, 2078, 15701, 22340, 5632, 11758, 17207, 6515, 8034, 1496, 17291, 7574, 9488, 13891, 16324, 1425, 5602, 7213, 8107, 3983, 12156, 2196, 845, 2576, 4245, 14524, 24413, 16956, 19132, 2157, 585, 1234, 5038, 3541, 8803, 25852, 5714, 2609, 5577, 6032, 10270, 679, 11955, 2573, 2262, 4399, 9739, 7029, 22951, 5057, 29171, 5443, 10412, 6591, 8115, 10918, 15291, 4633, 20044, 24539, 1743, 6859, 8605, 10333, 15353, 7560, 4151, 11485, 8571, 16165, 33179, 5831, 15379, 26728, 3981, 26309, 5754, 28341, 19009, 24290, 25817, 24240, 29822, 14777, 21963, 24113, 20633, 28390, 28319, 8213, 27076, 32140, 29877, 28492, 31510, 12752, 21702, 33179, 26844, 33529, 29291, 30185, 19017, 9655, 33573, 14478, 10875, 877, 22751, 11877, 4506, 27605, 5542, 17263, 25685, 25409, 28946, 24193, 27141, 7689, 11234, 30802, 22553, 30523, 22416, 29226, 29899, 30756, 31235, 33179, 21658, 1120, 32159, 19201, 26344, 17183, 13390, 19963, 28528, 33529, 19717, 23254, 6474, 19166, 30212, 18031, 8358, 16784, 10357, 9924, 32605, 24201, 17153, 23588, 15016, 30852, 29523, 6696, 28445, 18690, 19856, 29812, 27583, 27990, 1288, 32424, 26477, 27289, 30363, 21090, 19353, 29965, 19607, 10495, 10815, 29171, 19276, 5059, 11811, 12986, 7946, 27785, 23330, 32174, 31665, 19348, 20314, 17174, 27990, 13761, 26311, 28859, 28652, 14097, 2752, 3151 
トビウオ, 13473, 12650, 375, 5737, 19280, 28666, 16351, 8360, 8841, 20091, 1716, 1173, 3258, 16321, 5151, 7347, 5663, 10107, 19239, 5927, 2943, 2369, 16678, 10177, 3384, 3048, 3674, 19347, 5055, 1688, 7097, 17085, 15331, 11255, 4304, 4192, 1782, 2801, 16283, 7609, 6134, 3580, 3904, 3270, 0, 1620, 10886, 25466, 12847, 2829, 24437, 6235, 5858, 3789, 12489, 1778, 14907, 9700, 4751, 3486, 10102, 25235, 11181, 3105, 17080, 15238, 23269, 19803, 10443, 17038, 25827, 12511, 22110, 6658, 926, 4359, 3184, 9898, 28377, 2625, 24007, 2856, 12969, 19096, 4014, 6208, 11859, 1831, 7688, 2106, 12801, 7080, 6978, 11299, 12622, 4577, 10650, 2491, 6325, 6091, 6676, 4302, 3519, 1564, 5443, 11628, 19199, 11642, 13666, 3911, 3035, 3966, 5938, 6349, 5305, 21590, 2918, 3693, 1937, 14210, 6986, 3969, 7003, 4181, 1214, 4527, 9017, 5585, 20409, 3933, 24199, 4929, 19612, 5203, 3349, 9706, 12931, 5517, 15714, 18423, 4625, 5689, 7103, 5773, 11395, 3850, 445, 8397, 9661, 12949, 28203, 6215, 12941, 22358, 3369, 22115, 4942, 24295, 12787, 20506, 20603, 19784, 25644, 10967, 17319, 19615, 13719, 24674, 22935, 3807, 22676, 27070, 25581, 24746, 26778, 8962, 17326, 28203, 22990, 28591, 23859, 25505, 16971, 5711, 28739, 10076, 9169, 2319, 18153, 7221, 2790, 23745, 6944, 20785, 21653, 21235, 24322, 19789, 22373, 6237, 7834, 25864, 18115, 25243, 17420, 24190, 24543, 26440, 26355, 28203, 18140, 2960, 27177, 14929, 21920, 14441, 10926, 12859, 23446, 28591, 16099, 17940, 6190, 14980, 24842, 14811, 2590, 24058, 9847, 6312, 28011, 20277, 12595, 18918, 11364, 26022, 25081, 2174, 23367, 15434, 16764, 25106, 22537, 24278, 3686, 27638, 21571, 21591, 25419, 18684, 13127, 25025, 15081, 4955, 7955, 24275, 15312, 12081, 6085, 10788, 7216, 23199, 19510, 27252, 26915, 16134, 18190, 12700, 23314, 8523, 20715, 23957, 23732, 10837, 4526, 7445 
トンガリ’95, 12575, 16768, 1289, 8247, 21978, 32480, 19255, 9928, 12003, 23019, 3674, 2783, 5528, 18865, 5165, 10383, 10287, 12199, 22071, 4567, 539, 2409, 20108, 11755, 6934, 7300, 5726, 23457, 7987, 2462, 10295, 21821, 20459, 12055, 8098, 7540, 3876, 5755, 18259, 7757, 8214, 6484, 5542, 6578, 1620, 0, 15214, 29320, 16271, 6691, 28033, 10451, 2522, 4805, 15021, 3476, 19011, 14624, 8963, 7102, 14066, 28887, 14669, 3847, 20730, 19068, 26527, 22699, 14189, 20816, 29155, 16215, 26092, 10326, 2514, 8059, 7744, 10808, 32187, 5517, 27867, 6532, 16591, 22994, 7654, 8432, 13093, 929, 11436, 4814, 15343, 11948, 9480, 14891, 15124, 8885, 13912, 1197, 9635, 10809, 5830, 8810, 7603, 4190, 8173, 14048, 22065, 12848, 15400, 8191, 6951, 8462, 7130, 9903, 5901, 24794, 5118, 7197, 1655, 19428, 10158, 8405, 7943, 8509, 2726, 8193, 13269, 8721, 24317, 7441, 27271, 4779, 24022, 9291, 4323, 13182, 16957, 9659, 19158, 21159, 9087, 9149, 10999, 8109, 15131, 3548, 2439, 9717, 14241, 16221, 31899, 10541, 17189, 25546, 7961, 25751, 9050, 28089, 14499, 24074, 23779, 23282, 29492, 14537, 20725, 22987, 15783, 28576, 26259, 5757, 26402, 30696, 29421, 28618, 30482, 11592, 20056, 31899, 26752, 32319, 27171, 29167, 21291, 7177, 32511, 12376, 12395, 5355, 21563, 9317, 5520, 27683, 11890, 21757, 25419, 25231, 27944, 23393, 25777, 9569, 11330, 29376, 21065, 28683, 20104, 27644, 27919, 30226, 30075, 31899, 21694, 7222, 30849, 17875, 25590, 18039, 15064, 14763, 26920, 32319, 19067, 20810, 10038, 17468, 28228, 18073, 2386, 27304, 14103, 7534, 31819, 23955, 15747, 22174, 13616, 29512, 28817, 4284, 26781, 18748, 20636, 28620, 25545, 28216, 7536, 31280, 24931, 24679, 29011, 22676, 14975, 28577, 18399, 4427, 10563, 27423, 18364, 17303, 6269, 14194, 10242, 26971, 23392, 30892, 30627, 19980, 22236, 15302, 27020, 9419, 23851, 27069, 26968, 14597, 8412, 10837 
ナナへの気持ち, 40307, 322, 12133, 2397, 3244, 6146, 2255, 2872, 1873, 4229, 7626, 8837, 18132, 2973, 6033, 965, 18291, 1765, 4151, 10845, 18877, 15427, 1976, 2421, 12636, 5030, 7130, 49107, 2207, 11266, 1863, 40943, 33417, 3351, 2694, 2632, 7932, 2903, 2887, 33749, 2118, 16340, 23360, 11516, 10886, 15214, 0, 4586, 2085, 12987, 4885, 22535, 29194, 5723, 2441, 7884, 1755, 23070, 12947, 15058, 968, 4983, 753, 5471, 2774, 1588, 4469, 4199, 897, 1778, 5285, 459, 3360, 1958, 9114, 2191, 7798, 2960, 6107, 16155, 4749, 5558, 1711, 2588, 2658, 5218, 2731, 11343, 1818, 11188, 2109, 19574, 1002, 2151, 1840, 13283, 30398, 10289, 1597, 18497, 5448, 4932, 8651, 8608, 26277, 1728, 3395, 2718, 2746, 4107, 8307, 14880, 27120, 14969, 4683, 3528, 3760, 5193, 19007, 31892, 1778, 13097, 3135, 5417, 14744, 3321, 299, 4059, 2547, 3089, 4751, 24301, 39708, 3629, 6143, 1750, 561, 2049, 1796, 4109, 5327, 1471, 811, 4633, 1035, 9148, 8719, 2787, 925, 1135, 6149, 23667, 547, 3840, 10869, 3495, 2770, 4155, 3703, 3048, 3703, 3200, 4670, 1185, 2481, 3159, 4823, 4132, 4589, 3973, 3830, 5776, 4717, 4220, 5476, 1982, 2578, 6149, 3610, 6279, 4901, 5069, 1447, 3185, 6279, 1960, 1163, 13959, 2999, 2091, 2940, 3875, 20026, 52501, 3219, 3001, 4622, 3123, 4047, 1165, 1320, 5278, 2881, 5253, 2862, 4752, 5069, 5148, 5453, 6149, 2108, 8682, 5765, 1831, 3628, 1039, 666, 5253, 4528, 6279, 1807, 3258, 1268, 2440, 5184, 1315, 8160, 52826, 355, 3188, 5879, 3153, 1855, 2952, 1572, 5268, 4607, 5812, 4517, 1408, 1788, 4796, 4267, 3908, 9576, 5834, 3859, 4439, 5141, 2322, 3447, 4959, 2545, 6017, 1419, 4755, 1650, 23707, 4517, 484, 1222, 4015, 2480, 5756, 5559, 1484, 1480, 1816, 4146, 3487, 4073, 4635, 4552, 2067, 14302, 22651 
ナンプラー日和, 66621, 3296, 27403, 7741, 682, 200, 1393, 6458, 5111, 1123, 20646, 23941, 38950, 1607, 12655, 6195, 38659, 3993, 1393, 19803, 33749, 33377, 1294, 5035, 29938, 18514, 14618, 80607, 8557, 25364, 8065, 71705, 61711, 5349, 11144, 10578, 21450, 12199, 1753, 57927, 8090, 36072, 45206, 29250, 25466, 29320, 4586, 0, 3551, 30843, 271, 44265, 47704, 15445, 3373, 20630, 2409, 46890, 29341, 33802, 6278, 369, 3425, 15017, 1358, 1814, 319, 1209, 3553, 1448, 207, 2983, 462, 10114, 23486, 10911, 23316, 5000, 259, 34115, 483, 19428, 3083, 818, 12560, 10498, 3569, 23441, 8204, 27122, 2815, 39956, 6548, 4543, 3194, 30599, 56922, 20531, 7651, 40589, 10462, 17544, 25225, 22998, 49561, 3662, 753, 3672, 2540, 16841, 23761, 35058, 50694, 32161, 11197, 354, 12218, 18731, 36713, 59040, 6742, 31579, 7193, 17403, 32326, 12617, 5745, 11463, 481, 11991, 253, 45485, 70548, 14717, 13871, 6320, 2587, 11673, 1368, 1699, 19121, 8579, 6739, 10811, 3245, 18798, 21725, 6873, 8691, 2313, 259, 46153, 3087, 178, 27175, 217, 12300, 105, 3961, 358, 557, 642, 108, 3447, 1151, 561, 4849, 38, 439, 10783, 198, 234, 135, 18, 186, 4896, 944, 259, 120, 273, 403, 339, 3129, 8427, 273, 3952, 5369, 33129, 1109, 6053, 12942, 259, 42062, 84043, 349, 579, 356, 505, 269, 7553, 5594, 200, 939, 291, 1010, 254, 339, 74, 259, 259, 890, 24994, 223, 1549, 234, 1699, 3970, 5859, 282, 273, 1413, 1156, 8902, 2162, 338, 1555, 16724, 85584, 5117, 8726, 165, 651, 2961, 642, 3238, 190, 141, 15106, 367, 1526, 1206, 206, 349, 126, 25782, 196, 445, 753, 235, 1022, 3473, 229, 2289, 12191, 5467, 257, 1412, 48677, 9183, 3640, 8924, 217, 630, 214, 249, 1238, 914, 2454, 152, 6529, 735, 253, 286, 5079, 32166, 45303 
ニノウデの世界, 43632, 1941, 14452, 2142, 2099, 4811, 1218, 2073, 1402, 3140, 9241, 11982, 23465, 1486, 4840, 1560, 23870, 1176, 3098, 9508, 19822, 18222, 1959, 1476, 15979, 9343, 6901, 55436, 3386, 12215, 2022, 48402, 41214, 2076, 4443, 3893, 9739, 4304, 1594, 36706, 2685, 20243, 27637, 16099, 12847, 16271, 2085, 3551, 0, 16456, 3640, 26838, 30663, 6122, 1868, 9351, 2022, 29905, 16302, 19699, 1541, 3122, 906, 5958, 1903, 1387, 3034, 3122, 1260, 863, 3992, 1270, 2999, 3005, 11537, 3720, 12195, 2237, 4772, 17988, 3540, 8969, 1638, 1979, 5187, 5181, 1744, 11628, 2211, 13491, 452, 25169, 2167, 1878, 973, 16100, 36353, 10058, 1774, 25066, 4995, 8419, 13190, 12309, 30110, 485, 2184, 1777, 1651, 8034, 12594, 20671, 30771, 16838, 3942, 2473, 4393, 9666, 20704, 39605, 1603, 17702, 2312, 7550, 17217, 4466, 2196, 4462, 2048, 4696, 3518, 27014, 49289, 7882, 6488, 1357, 948, 4932, 1395, 3092, 9658, 2686, 2282, 2956, 1574, 7865, 10620, 2892, 4614, 534, 4772, 29034, 1816, 2737, 15074, 2844, 4209, 3354, 2962, 1933, 2616, 2341, 3765, 1196, 1452, 1842, 4058, 3387, 3374, 4042, 2785, 4367, 3708, 3349, 3957, 1275, 1667, 4772, 2885, 4890, 3668, 3240, 3378, 2576, 4802, 1277, 990, 18682, 1952, 2154, 5255, 3312, 26397, 57304, 2656, 2804, 2873, 1972, 3000, 1940, 1447, 3883, 1556, 3972, 1837, 3281, 3812, 3775, 3842, 4772, 1583, 12841, 4322, 1204, 2455, 1240, 1509, 4548, 3099, 4890, 1350, 2339, 3135, 1023, 3915, 1168, 7951, 59173, 1918, 2667, 4562, 1840, 1274, 1945, 1075, 3819, 3712, 6301, 2924, 1211, 1055, 3715, 2992, 3377, 13029, 4499, 2354, 3290, 3916, 1961, 2546, 3482, 1914, 5106, 1306, 3352, 1407, 31972, 3586, 1083, 3883, 3166, 2201, 4347, 4114, 1339, 1849, 963, 3007, 2286, 2756, 3312, 3231, 1348, 17497, 27084 
ネズミの進化, 10910, 16085, 3198, 9280, 25663, 34983, 21114, 13087, 12994, 27526, 2399, 2230, 2543, 22414, 9558, 9868, 3358, 15302, 26770, 9730, 9048, 3184, 22285, 14604, 1607, 3069, 9309, 12356, 9450, 2857, 8352, 9538, 7210, 16368, 7407, 6557, 1813, 5460, 22158, 7280, 9681, 1179, 3627, 1535, 2829, 6691, 12987, 30843, 16456, 0, 31036, 3814, 11983, 5732, 18670, 2729, 19530, 4519, 3222, 1899, 12003, 31414, 14218, 5600, 22723, 19421, 29562, 27270, 14360, 20847, 32466, 15848, 27693, 7261, 2853, 6014, 2283, 16413, 34822, 1062, 30102, 2247, 17070, 23607, 5335, 12887, 18304, 5960, 8997, 1433, 17964, 4901, 10755, 15710, 16951, 2114, 5085, 7360, 8430, 2778, 13295, 3143, 1392, 4127, 3048, 15129, 25600, 18085, 20255, 3442, 2498, 1667, 3803, 3974, 9000, 27279, 5835, 4326, 4186, 7867, 10211, 2136, 12176, 3448, 1429, 5006, 10686, 7502, 24418, 6410, 30830, 5010, 12483, 7636, 9154, 11929, 16150, 6560, 20929, 26050, 3646, 7436, 9726, 10228, 16146, 6899, 3544, 12722, 10680, 17080, 34870, 4318, 16722, 28243, 2458, 27972, 5749, 30068, 20446, 25723, 27200, 25747, 31523, 14770, 22954, 25114, 22018, 30073, 29962, 7836, 28637, 33737, 31472, 30127, 33119, 13269, 23091, 34870, 28413, 35226, 30910, 31712, 21254, 9926, 35254, 15455, 12168, 1654, 24268, 12128, 5161, 29418, 3835, 14634, 27344, 26686, 30417, 25638, 28702, 8862, 11121, 32329, 23558, 32166, 23717, 30551, 31530, 32363, 32512, 34870, 22875, 869, 33706, 20182, 27699, 18658, 13381, 21318, 29829, 35226, 21120, 24723, 7147, 19703, 31857, 19558, 8739, 15243, 12202, 10139, 34292, 25658, 17886, 24907, 15831, 32409, 31238, 5927, 29974, 19957, 21405, 31461, 29086, 29751, 951, 34099, 27938, 28866, 32046, 22699, 20618, 31532, 20720, 10844, 11744, 30636, 20581, 6116, 12334, 14255, 9657, 29194, 24903, 33759, 33262, 20759, 21979, 17839, 29219, 14226, 27618, 30386, 30235, 12946, 2201, 2664 
ハートが帰らない, 65820, 3317, 26462, 7380, 475, 251, 1406, 5995, 4670, 618, 20613, 23642, 38285, 1238, 12116, 6282, 37924, 3674, 834, 19218, 32208, 32914, 919, 4826, 30163, 18347, 13053, 80698, 7750, 24929, 8476, 72180, 62762, 5046, 10809, 10159, 21423, 11764, 1502, 56550, 7585, 36235, 44743, 29649, 24437, 28033, 4885, 271, 3640, 31036, 0, 43574, 45671, 15264, 2904, 20201, 1910, 47813, 29574, 33385, 6641, 294, 3510, 14814, 899, 1805, 172, 686, 3306, 1799, 92, 3062, 271, 10603, 23093, 10886, 23443, 4361, 228, 33990, 158, 19573, 3074, 971, 12231, 9391, 3040, 22358, 8711, 27055, 2550, 38905, 6317, 4564, 3091, 31180, 57325, 19732, 7760, 40222, 9663, 18031, 25544, 22387, 49192, 3895, 400, 3139, 2033, 17210, 24026, 35057, 50363, 32730, 10884, 317, 11821, 18700, 35466, 59927, 6575, 31788, 6702, 17974, 31849, 13018, 6080, 11464, 992, 12008, 104, 44752, 71343, 13958, 12842, 6783, 2700, 11920, 1069, 1086, 19606, 8690, 6728, 10020, 2770, 18317, 20544, 6950, 9060, 2372, 186, 45320, 2946, 201, 26584, 184, 12239, 142, 3158, 519, 264, 441, 149, 3260, 780, 518, 3858, 223, 138, 10182, 105, 121, 150, 229, 147, 4725, 815, 186, 205, 218, 114, 268, 2934, 8012, 246, 3493, 5628, 32934, 844, 5510, 12543, 224, 41441, 84048, 274, 376, 269, 394, 170, 7568, 5457, 99, 862, 74, 737, 105, 86, 175, 204, 186, 909, 25181, 138, 1318, 223, 1808, 4137, 4778, 109, 218, 1348, 729, 9353, 2123, 89, 1534, 15593, 86213, 5418, 8435, 208, 690, 2542, 419, 3133, 117, 96, 14079, 150, 1503, 1261, 97, 152, 229, 26327, 169, 242, 338, 74, 1349, 2706, 88, 1888, 11352, 5398, 150, 1199, 49444, 8354, 3673, 8833, 66, 481, 143, 198, 1203, 1293, 2195, 79, 5938, 350, 128, 129, 5366, 32401, 45796 
